order_id,customer_id,order_purchase_timestamp,order_approved_at
xYh4tcmBf0pq,PGfqqeXWFN4T,30-05-2017 09:39,30-05-2017 09:50
D5YWaLz32bm9,f8I8oYaA7t7w,30-04-2018 18:55,01-05-2018 02:15
XhmzJrChXt1C,4LCk55VNuZB7,08-03-2017 14:09,08-03-2017 14:09
xyukk6AHT526,kuB5S1kHsjKK,02-04-2018 18:48,02-04-2018 19:07
8LH9cFjaFFLw,QGN0QrmHtymT,02-07-2017 19:39,02-07-2017 19:50
WCVW0rJ4udYk,l7nqhW5os9MR,06-08-2018 17:03,07-08-2018 04:25
pvYF1MU8i064,sQnzUN1MPa8t,19-11-2017 09:42,19-11-2017 09:55
bhMwu9M1F3pM,S728b0DhidXp,13-04-2018 22:40,13-04-2018 22:52
iUEMkbaTWXER,7HMxp8E7C2sh,04-12-2017 17:22,04-12-2017 18:30
sZG0zVMaFAXJ,LAEzF0DIX9Ji,02-08-2017 12:32,03-08-2017 03:10
u49f51uCjN3j,MzcqTnXLe10i,25-10-2017 01:58,25-10-2017 02:28
Whn3HZ9xudbF,i41FdkGhLoWC,03-07-2017 18:35,03-07-2017 18:50
UuMDtqNcmyUC,8H4jHVTcDgh3,22-01-2018 11:59,22-01-2018 14:18
v5gjarBxJsbo,IYhLLNrleCkP,09-10-2017 12:17,09-10-2017 12:49
3TVHEQZQTpNK,JyQzFoxlhfxF,26-02-2017 01:05,27-02-2017 01:15
hJq9LTbltF0f,sOlw163EqSSe,28-08-2017 20:17,28-08-2017 20:25
cqbIl6jpDT2u,AZn6IjMeDt40,19-02-2018 17:46,21-02-2018 06:10
LB5ptHNQKAFz,yQ9oNz28zxfb,17-02-2018 22:18,17-02-2018 22:35
903k3PvOOCNz,Dfs0ckTcmSGd,12-05-2018 23:19,12-05-2018 23:31
cv7Hxy6CHEtO,q0PYd7G5N9MV,15-12-2017 05:39,15-12-2017 05:49
CscZnJreINZO,BXCHoEYRBIqM,07-05-2017 17:31,07-05-2017 17:42
mG9DF0eoAvGx,jbTwou52qAzI,15-04-2018 13:07,15-04-2018 13:30
hCbJt8U6Ww3N,QsxVntH2qe6q,17-09-2017 18:12,17-09-2017 18:25
0llz1DKEU0D0,ARtFmdPvH6OX,08-05-2018 19:17,08-05-2018 20:15
liA5pvBYs64o,sB1x80ZUOPiA,20-01-2018 10:09,20-01-2018 10:19
KNa3m4B9oN3I,ll44jqfknrOb,14-11-2017 20:54,17-11-2017 04:06
KZs2qgGZoOSX,t1kuXerPhQiB,08-01-2018 11:48,08-01-2018 11:59
RtGO0hlWZEvO,98aTnBilI6gC,24-02-2018 21:23,24-02-2018 21:35
v4xqa1KwmNvE,IH6W6gExtoPS,13-02-2018 11:35,13-02-2018 12:47
LgBjaoAZT313,tuUud0RWr7f1,09-05-2018 09:25,10-05-2018 03:09
g2feI21w6ZER,kIt2LC6KHkff,23-03-2018 02:36,23-03-2018 02:50
UXFVXUDBBnN2,QfIM6BS6UQWw,22-01-2018 19:11,22-01-2018 19:19
NiYQcWqn2dx1,prSsfCE0cuDh,26-01-2017 22:19,26-01-2017 22:30
uJxv0BlTzZKk,u1tSwHWPaOmG,18-01-2017 21:08,19-01-2017 21:10
Gnt5P2sMZoDE,VkYTBgsP4ahW,20-02-2018 21:32,20-02-2018 22:07
EP3hioG5H9fK,9hLk4KZPIrdp,10-05-2017 06:54,10-05-2017 07:05
Qu1j9oOfSK6t,ZNkeoW0v2Yz5,06-02-2018 16:04,06-02-2018 16:15
eNNSfcB8zJAv,bVEGh3nqaNyK,21-07-2017 21:14,22-07-2017 15:23
KBjiJXcRN9WP,4nWN1nYcBUUM,27-06-2017 11:17,27-06-2017 11:55
7QE67FF0Om5N,CJBe5YcVa8BV,07-12-2017 23:10,09-12-2017 02:35
bVYJzm2XCyxo,njO6UF6KC5oM,25-07-2017 14:37,25-07-2017 14:50
blIKUJKqhcAw,vGbrlOwsJGNT,07-05-2018 14:06,07-05-2018 16:15
glRonpQa8jMJ,kRrMY3t755nL,13-04-2017 20:46,13-04-2017 21:02
MHEaSt8SPeoG,FB4qoCQtY78b,21-05-2017 14:42,23-05-2017 03:50
cB2f9bMTD38b,XUVgmhKGTlCU,09-08-2017 23:01,09-08-2017 23:15
GayOlUb6Vmw5,FRenfQXwKTr2,08-12-2017 13:29,08-12-2017 13:38
DFJtb4hzzmHX,qXd5XyJFHOOH,10-07-2018 11:36,12-07-2018 04:06
6whGhQyugS0N,KBYhryQMswGj,31-07-2017 16:42,02-08-2017 02:34
9NeeIZEF4rYg,InzL2EFfs1Z4,07-11-2017 00:32,07-11-2017 06:31
zyqeRBdn2QIz,TLcN4gqrngCZ,05-12-2017 19:03,05-12-2017 19:17
ZPtEC8wwF6WC,ZXGtgz22ZuTc,21-06-2018 16:34,26-06-2018 05:37
n5anh2ES0Qrx,10CMmu85B1xh,19-04-2018 13:46,20-04-2018 10:22
ZAZc30nO7mBG,950pNgLYvrUB,23-02-2018 10:00,23-02-2018 10:15
2h0BGlUwGRS1,GyQLgLcEsyyk,20-04-2017 12:45,22-04-2017 09:10
0bLeA89iFL8i,R0hdk8rOTHCx,27-11-2017 12:49,27-11-2017 12:57
1jjbu6TXyRch,f2XW6ZIEWnk2,29-05-2018 19:16,29-05-2018 19:32
amNpLmLRtqds,P101VTJljiqW,13-10-2017 09:04,14-10-2017 03:37
J3NBaP7MoqMg,oEEHeCpHvpTJ,28-11-2017 11:43,30-11-2017 11:42
UGOUFp6lOvfy,sQ58Z70GxzD1,04-08-2017 10:59,08-08-2017 04:25
W1NJYnYkaukv,2wl1V2O532Ne,06-01-2018 09:03,06-01-2018 09:13
mekmxzX7xg66,lkeyEiK1e5yg,17-08-2018 18:16,18-08-2018 02:49
zgIMZEReS5B1,bCn2jXaQK8n2,14-09-2017 11:04,14-09-2017 12:05
sqqcJi5UVxtn,PCtRlALJAqIy,20-07-2017 12:11,20-07-2017 12:25
726qzHfAqEZO,GIo0gCA7DZwJ,20-08-2018 19:14,20-08-2018 19:30
SPsLXC6EZB6w,OZVsT3BLq9H2,28-07-2017 19:39,02-08-2017 02:34
QLqDouIaUQyr,j796RyTU4D9J,23-01-2018 09:08,24-01-2018 02:36
pKPwllWcu4W3,sNvreFY4xGGx,16-08-2017 21:38,16-08-2017 23:15
8WTKsujGSPr0,Of9TY1egrbYl,21-05-2018 13:00,22-05-2018 12:56
NTvOc3tRPuW5,rVpZ5iyUcDs1,26-01-2018 12:03,26-01-2018 12:21
Io6QaiAgVYoZ,GCIHYuqgJO4m,04-01-2018 00:48,05-01-2018 00:38
Xknxc0MlpwU6,UaYsJO1dP5iW,12-10-2017 10:58,12-10-2017 11:07
TmyZSJp1HpV7,6qgZyqFsEr8W,23-02-2018 15:28,23-02-2018 15:54
GNz6cxwDUyoM,mPVFphfpomAt,05-04-2018 12:34,07-04-2018 02:55
t0EtYo45Wcw7,wtZTUGiZB7cc,20-12-2017 19:27,20-12-2017 19:51
uCkWTkJzyQRA,qK7oy4s5YyXx,03-08-2017 17:18,03-08-2017 17:35
kHpIb3Vhkr2B,kLnTz5KGD1RN,17-06-2017 17:04,17-06-2017 17:15
JHwaDSRd7Yqk,BDfHue7TLPbA,26-04-2017 00:59,28-04-2017 11:45
PqlLQqphGWMG,pr9d47fsvAOA,21-03-2018 15:56,21-03-2018 16:15
J8Bc43diiiwa,G1Bo4rtOPOUV,18-02-2017 17:26,18-02-2017 17:42
T4K1lnPN7lH9,ntLORCsAAxkl,11-05-2018 15:21,12-05-2018 15:41
qFGvBA8siR9C,Wzt8Wnmh39R5,20-01-2018 19:04,22-01-2018 13:56
DTG8rFMgpHXy,IbNmDM5pVSuW,15-08-2017 14:16,16-08-2017 07:04
EzLqwURTMESq,2BDSGrKxGvBM,14-05-2018 20:46,16-05-2018 03:15
VfPfevghWKRz,zzXJDr2XBrBa,18-01-2018 00:00,18-01-2018 00:11
RrMH1HzjPDUy,wL6AVErEnDEN,18-04-2018 09:59,19-04-2018 09:55
dgXkaqn9QIyl,MH8RBjpM8eLq,21-03-2018 18:59,21-03-2018 19:10
GkihidwfzkNV,DVWp3lrKeGtO,28-06-2018 12:41,28-06-2018 12:50
vl4sZM3Me2dI,nwe6tWyEFgKX,03-10-2017 15:04,04-10-2017 02:49
uKdtgTIV8ML0,ZnWtfiYU2gmJ,08-01-2018 15:45,09-01-2018 07:20
Tao6yqzZqR8i,184l4HeebUUs,20-10-2017 17:28,20-10-2017 17:35
CRAW5FHTgef2,rrVwfYACf06j,26-06-2018 11:43,26-06-2018 11:57
hToNiABH0dXp,5I8T5HbvLcxV,14-11-2017 18:14,16-11-2017 21:33
mUZI3vHznWIA,gc5eu2jRP8Ue,05-12-2017 08:46,05-12-2017 11:03
xgFgAUrPUHEk,YRGRe4QsNriT,18-06-2018 08:58,19-06-2018 03:36
JgAkkK19yYhw,mgzE1mWPrm0b,28-02-2018 16:07,03-03-2018 03:20
3CD8klhI6sv6,YMfJQ9PazlYb,03-08-2017 11:55,05-08-2017 02:50
yA6ye44VAqXT,ogasrBdboH6w,05-09-2017 15:20,05-09-2017 15:35
pshOBIa9uNaK,W2VQOt7KVy6H,16-08-2018 08:29,17-08-2018 03:35
SpFKAoPp0ilG,IirLNRdsUxR3,24-06-2018 20:33,25-06-2018 15:18
hwV9K6iZVgnh,t26lZBwvRhG4,02-04-2018 18:23,02-04-2018 18:35
DBPnEuQDFDVb,BTGQBnuBkWTP,23-10-2017 19:00,23-10-2017 19:14
CM47ksrL2R8A,JqvcHU6MeNPY,29-04-2018 17:26,29-04-2018 17:50
6otDC7qi8cZh,vRbt7lQwnXRq,03-09-2017 21:25,04-09-2017 21:30
wq3LDwK546wG,ExANiT3OIbOY,16-02-2018 15:02,16-02-2018 15:15
w4jk8j2fTnhw,VMGiDteguIiv,23-10-2017 16:29,24-10-2017 16:42
tZoVpxv5FVIH,LlA9gb5gFVGc,02-06-2017 10:14,03-06-2017 08:55
tFQGjmZndsM5,CpEHH3xqcozm,21-02-2018 17:06,21-02-2018 18:00
nblJwrll1AS0,oO7bOdpWgnYb,28-06-2018 19:28,29-06-2018 02:53
3vx9j3SvRUKg,D3m8aT6XucbW,25-08-2018 17:52,28-08-2018 03:44
OPuvw5JcjfOh,aijopZ8MSdrR,28-03-2018 12:11,28-03-2018 12:27
kVpTE6tUo9w7,L4YypNLTXp74,24-03-2018 09:54,27-03-2018 04:10
NecsYKNR6nba,tdPbY5RvYiew,04-03-2018 21:56,04-03-2018 22:10
fnSFBmKlfG9i,YActXwv3Y5Gi,03-05-2018 10:55,03-05-2018 12:19
u2oKzCyv9sav,AGCtVipzoiOF,12-09-2017 10:44,12-09-2017 11:04
OtV6waAZRqcN,ILQa3Kn6bDI6,04-02-2017 19:06,04-02-2017 19:22
vhdr4kEZVJXi,g96IscN82qaH,02-07-2018 19:07,02-07-2018 19:15
kyeIOoUKvoIM,rkwgauHpsbI2,01-08-2018 21:53,03-08-2018 02:43
VZvjDMifWUUk,jyMYviDKWitg,06-11-2017 14:20,06-11-2017 19:36
GewZicdnVU4o,Ohw8sDco6bPu,24-06-2018 11:41,24-06-2018 11:58
paJO30kb5azy,YDUVSDBuTWfM,25-07-2018 14:47,27-07-2018 04:05
Co6YY9CSER9B,KpXnUCYEfrXH,11-09-2017 19:36,13-09-2017 03:35
1ADWBenqZlyI,vyYSsscIhCiO,16-12-2017 16:23,16-12-2017 16:32
YKY495iYCoqG,lSomgOsTCP4U,23-10-2017 18:35,23-10-2017 18:49
MV5sovfkXA3U,fdOB1jOqBSQS,10-07-2018 01:51,10-07-2018 02:05
jQBSgqRWOpvl,9AU7CfR0udf7,10-07-2017 17:12,12-07-2017 02:15
CtWqYNGFXvab,f3tYfLzojNVI,14-05-2018 13:12,14-05-2018 13:31
obrJjCEHkABU,HJYGjBBwZZtF,03-11-2017 16:55,03-11-2017 17:30
BmKm8T53Heik,5l068RJToruk,29-07-2018 15:25,30-07-2018 15:24
WMaeamcmMFS7,m3rvPRXOZVMK,31-07-2018 14:04,31-07-2018 14:31
80zasKxvt11B,bVaYS9waa2sh,21-11-2017 14:34,22-11-2017 14:29
HW9Ogje6AlUA,ggRUhTY47BvS,21-04-2017 20:05,21-04-2017 20:15
O3kEwpEBakLG,tNTik5aFiRfV,02-12-2017 21:32,02-12-2017 22:05
TKwhZWStGsmY,swwLA3wfsrzU,12-06-2017 10:06,14-06-2017 02:35
I54x5B7ZScB4,bP5kiwkaCqIi,07-08-2018 10:57,07-08-2018 11:10
KOrn1FCfjiwG,E0YjDtmJ2tu9,21-09-2017 15:25,21-09-2017 15:35
RI0Rc1aPQdUs,x4Koq5pqV2iA,27-01-2018 10:54,27-01-2018 11:16
q4CIb4iWNj6w,VQmOdb97L3NX,09-08-2017 12:40,10-08-2017 12:45
ATrYoxeRKpjR,rWQ5DmfRpEHX,18-06-2018 22:47,18-06-2018 22:56
k1rQ3PIw3yYp,7tHlpp9PIsDJ,16-11-2017 13:53,17-11-2017 03:46
lD9HnSAxViqE,ZjkS1jjTW4ei,06-08-2018 15:59,06-08-2018 16:10
PX1ynyV2HPjl,3ygMHzAu6iPq,15-10-2017 15:41,15-10-2017 15:56
Gwq3kXZ8MW3c,6qV1JAlxvACX,19-11-2017 14:22,19-11-2017 14:30
W3nEEHGY8aZe,xt2w5DiNag1t,12-07-2018 10:24,12-07-2018 10:35
mpXwWjfPlBSr,V2raysQanXud,02-05-2018 18:38,02-05-2018 19:15
xneeAgYsRUlF,BsmOTC1b93g1,13-06-2018 20:52,13-06-2018 21:20
BRj5e8wXFtYd,0ppLSIt4btFY,02-04-2018 10:57,02-04-2018 11:10
fuBWf4V2Fw1v,31A7FiOQoCnn,22-02-2018 23:13,22-02-2018 23:28
mpPCmbAGPedF,Ivtp0KMG7fRV,28-01-2018 17:22,28-01-2018 17:32
yb8LxW1FVkLV,RaooSyuOMPGV,29-07-2017 10:47,29-07-2017 10:55
7s3w2S5NqgHr,PYIfk4aezkrI,18-01-2018 09:30,18-01-2018 09:38
nWpya4oQZL6n,zdKG9apl6jIZ,16-05-2018 09:52,16-05-2018 10:12
tytEgIj2Th3J,Xv2LLvsTB2Wn,09-11-2017 11:10,09-11-2017 11:26
Wa1rNI8dP7zs,XaUlNzHILmZh,16-08-2018 10:30,18-08-2018 02:35
fIrfCQsEFnE9,5mXDJ6NmcXmv,01-10-2017 20:48,01-10-2017 21:06
at7rWo8KPYVJ,g6qtNzCdXU0C,11-01-2018 18:37,11-01-2018 18:49
PmfjmIs699a5,soLxGcdOU73S,07-12-2017 20:48,09-12-2017 16:31
Na5LA4dY4q9A,OPPFYEAWif9X,14-06-2017 15:11,14-06-2017 15:23
BunZbvls0n1k,sM9kRw53gwad,02-05-2018 14:22,03-05-2018 03:55
AhUvxUGYsopt,D4iBJgP2KjHq,24-11-2017 10:44,24-11-2017 12:31
gI9LiRm1Ryjt,o0gnecAFdlJB,28-11-2017 22:18,28-11-2017 22:30
E93Sn1q2YqAV,nPfVkqhhWTwb,28-03-2018 22:21,29-03-2018 07:50
FrByV3btkMWv,uzQYBbMbMPMF,11-04-2017 16:18,11-04-2017 16:32
8J2PSZX0Qado,Jxy8uod7ozFs,13-06-2018 09:16,13-06-2018 09:39
47UxbbQPIt5G,oAZ7OCWKsoDv,26-05-2018 19:30,26-05-2018 19:49
ojnrE1j1yZNk,0ElCR6lB1a8Z,01-02-2018 23:08,02-02-2018 23:10
bCo6YkJgUmME,jye5qp1Wu0FI,05-02-2018 23:05,05-02-2018 23:15
DKYTTXy6VhNE,RUpwIYbtZ0l3,18-04-2018 17:12,18-04-2018 17:58
nr3yNXzg551L,4MBF3DUDYYV5,06-03-2018 15:28,07-03-2018 02:49
zErVTquqlznU,7LX2ffZwwzuW,13-01-2018 19:00,13-01-2018 19:10
vJOB9Yahwavl,ufeA6XZUvEln,07-05-2018 16:08,07-05-2018 17:30
tJN8rPKqcCsC,vOL6Nxc99z2n,28-11-2017 14:09,28-11-2017 14:20
jap0obJnnAmy,YNBaU2euoQ3y,06-09-2017 12:46,06-09-2017 13:03
B1SS9cXxCf43,f3hY5LK6K2rT,29-05-2018 16:16,30-05-2018 02:15
KXDoKZReRLYT,mN9bdCM7GgFE,27-05-2017 10:14,30-05-2017 04:30
J20qFvYqnjav,gN5WSy7WygiK,11-10-2017 17:31,11-10-2017 17:46
ODQVs33Hh84k,8Cp259DS3W4b,28-01-2017 13:17,28-01-2017 13:32
xX2UiyxIPZSv,vBXAF0ljQOn7,14-04-2018 10:04,14-04-2018 10:15
xiJphil15jpi,nmYbYIE684Jz,09-01-2018 13:04,10-01-2018 10:35
E8OuxMoG0Q75,gjw2ezpSJvR1,09-02-2018 12:24,10-02-2018 11:35
FABrt78aO16I,ALDvocEtJSSN,29-04-2018 13:36,29-04-2018 13:51
6b03hCPGdqkl,rl6DXFwpoeWA,04-02-2018 19:58,04-02-2018 20:24
Jcy2W2E0Agmu,aR68UXjxXjsQ,15-08-2017 12:59,15-08-2017 13:31
aOYDktekeGQa,FE792HtGAt71,27-10-2017 16:42,27-10-2017 17:31
D7VNrgEGCxnU,flrMa2cVRj8c,17-02-2018 19:50,17-02-2018 20:06
rSLWWI0YOkKf,vVnbcPACiUlO,17-08-2018 14:59,17-08-2018 15:10
KYO2H5mu4Wc2,6Oyl3eGtC0gr,30-05-2017 21:04,30-05-2017 21:15
HkhWA2uQbJjR,TrLRMUdWaQHx,26-06-2018 16:59,28-06-2018 02:15
UEMavvdMBBA8,UXs8qnVOI84S,09-05-2018 20:49,10-05-2018 03:49
yCkVMOcqHA1A,YFoKoWL2X75t,24-08-2017 21:11,24-08-2017 21:31
6wadKo4Uu9GE,dNFSFbNcvQEX,26-07-2017 11:46,27-07-2017 10:10
8mIyPGLbfaH5,0fbv2MuqXbqx,25-10-2017 10:14,26-10-2017 08:49
ZEHiCVT7ZSba,FmvgV0A44TaS,13-11-2017 22:27,15-11-2017 03:06
oAESSZCHbW0s,NA6521waTjnZ,12-05-2018 18:02,12-05-2018 18:36
KHgfaMNh9uhy,IVuCRVIA6rml,05-06-2018 21:54,07-06-2018 02:54
7Tm4svxqksuZ,AU4iqmURZEnJ,24-11-2017 23:59,25-11-2017 02:54
nGdpUMWwEiJW,D5dB0pZa5zho,12-11-2017 09:50,14-11-2017 04:06
2MGiPfM1fYce,XrmOwIWMgFTS,19-04-2017 17:19,20-04-2017 17:30
V2mJU7eydnfg,y510OvWhsolR,14-01-2018 17:18,16-01-2018 03:39
DAYUX6uOyR75,lNyehspOb9Lz,08-08-2017 20:26,08-08-2017 20:43
boeIrCCs8kim,snGOZiHSdoKM,03-01-2018 22:20,03-01-2018 22:30
EEGYTFIZDfBx,UWI2mBhl2d8P,20-03-2018 09:43,20-03-2018 09:55
BihLVZjmyN0H,YfN1DeT1YGiY,04-04-2018 14:01,04-04-2018 14:10
1kGGcFSFoKao,sKwLXkyBq5VP,06-10-2017 21:52,06-10-2017 22:07
eVFyR1qdF9cp,FTEqFKZluPxz,22-08-2017 11:50,23-08-2017 17:33
ho9aYoyNRGoz,ZQ37SMSff5yt,29-06-2018 16:22,29-06-2018 16:35
vsQdmfvAWD0r,rYsVZieS9YlZ,03-06-2018 13:17,03-06-2018 13:30
NtSSqXv1Z1Wm,bBdaOit4rJ29,14-03-2017 22:44,14-03-2017 22:44
ksOPq3lpCN7q,CgPeFU7Ho2Fc,11-05-2018 16:33,11-05-2018 16:59
QfDwhACQ23Xr,Xhqij3xorJCW,28-02-2017 17:40,28-02-2017 19:19
u5AJRhmBLQtz,tF7F4FFz5AeL,24-11-2017 21:07,24-11-2017 23:57
pX5m0O1CVY5q,CoxzTPZu9637,19-04-2018 20:41,24-04-2018 17:56
jyNEi4sA1XHY,qeZCC3BlcACE,20-03-2017 13:32,20-03-2017 13:32
8WYnlgMCHPfg,xCe2rNxNNeZ9,04-12-2017 15:39,05-12-2017 04:13
YNo05KYxHSkK,FIAgvkiG0Rn7,09-07-2017 10:02,09-07-2017 10:10
LlxtAAKjt6BB,N8AWnnTb2KYi,15-05-2018 18:43,15-05-2018 19:12
PNI2HqlPxVjC,mNPCM1Ff7p26,26-07-2017 00:09,27-07-2017 12:02
F8EbvNo4GhiG,McoxVVasu414,26-11-2017 09:30,26-11-2017 09:39
oSyS0JoHQjtO,PE1IpEwfQWnD,11-12-2017 23:23,12-12-2017 00:18
5AI7yWNtkxDG,xh0hGOWQ4po2,24-03-2017 22:17,24-03-2017 22:25
9bqV6nH4nfrW,gHYOH8lHMYWj,19-01-2017 13:38,20-01-2017 13:45
QWzeukLNfMeF,tgOqRS1ySu2E,03-04-2017 17:54,03-04-2017 18:05
mNxi2hOZpFeh,WZu0l2oQ9c3C,09-03-2018 13:50,09-03-2018 17:28
Fie0ynZ7drmB,JwaxDDor8HJS,14-05-2018 17:50,14-05-2018 18:10
M9fSx7DrrYb9,E7RspGp8H7WD,31-01-2018 21:25,31-01-2018 21:35
Yhkot2w7WEXz,6E5nlCKrnHEf,19-08-2018 22:08,21-08-2018 04:50
AdQYiwpmbcZs,PxOk1wdyXOy8,05-10-2016 19:09,06-10-2016 15:59
6QNUKHTlKzQz,UuPk1acPQ0gs,06-05-2018 22:19,08-05-2018 20:31
FXRNx6tgp5qm,0M1jsLTW6b5V,21-09-2017 17:13,21-09-2017 17:25
bJx1zp3tvlFI,1MA6mCBkIMCr,23-08-2017 11:48,23-08-2017 12:06
yEA6uAyJrtyn,96IzdLOFjMzC,07-03-2018 21:08,07-03-2018 21:29
sWGOVCBlIYpQ,Rc0LLFq6sTnx,26-01-2018 17:06,26-01-2018 17:22
hTsd7hsjSQkN,bhLhyyAfQ0ha,29-03-2018 15:41,29-03-2018 15:55
7Z0hXerVDxYV,bj4nV5oi64BU,07-08-2017 10:30,09-08-2017 02:50
YeL4SAuZWnm6,NqDXxqVlSI4S,08-04-2018 19:22,08-04-2018 19:30
OGBnugiiwsQ7,OBCnsVkkH31c,10-11-2017 09:11,11-11-2017 15:26
cfV2FFpdyahv,DSNpwUg48E10,26-02-2018 22:34,26-02-2018 22:47
E8AKfhtGs86K,0L9kj9ss3U8X,20-01-2017 14:27,21-01-2017 03:06
OR0wt8h1DIKb,JNwZxN5F26XN,11-03-2017 11:41,11-03-2017 11:41
qHQXGVVCHZYY,Fw75b7PhIH2s,16-07-2018 16:30,16-07-2018 16:45
xpfzksDexXMI,RsKKhLOuYvRj,09-06-2018 21:51,09-06-2018 22:19
YYNavM4ecDW5,li6n11KfL9qe,13-12-2017 22:25,13-12-2017 22:35
qUt5sGnfTqfO,1uoZyUZ8ofd8,14-12-2017 12:09,14-12-2017 12:17
RVEKyUSqDZHV,QIq0mujA0XNC,04-01-2018 16:52,05-01-2018 16:48
FfgsDN9OZGuM,13QC1AOX58yu,16-07-2018 10:33,16-07-2018 10:45
sMzZJbA97sz8,Vgyfmb4nYOoj,13-09-2017 23:09,13-09-2017 23:24
oGdO8jGWtiCD,RHJ0CL41nYe1,24-07-2017 13:41,24-07-2017 13:55
R4puFrZcycnq,xV6mRxIQbW8x,20-08-2017 19:20,21-08-2017 19:25
CetUKkHYgPya,pDuKFS4bqSbx,15-03-2018 16:45,15-03-2018 17:10
0d19WT6gAay3,guvHjqqiGGYD,08-09-2017 01:21,08-09-2017 01:30
Biqo21nETaMO,zaQlKYHHyUFT,20-04-2018 15:06,24-04-2018 18:39
hhBKG3qil2KL,4vxo2lLXmhJg,07-03-2018 09:12,07-03-2018 09:28
aDnwWyOFhEJ2,CXhBTYB1j7es,07-05-2018 12:59,07-05-2018 16:15
C5Vs4Tb4ozNR,f8TCXhL2ohSn,01-04-2018 13:13,01-04-2018 13:30
U1mAeIP72gPD,0HOc4IVAMvcc,23-07-2018 10:51,23-07-2018 13:24
DfUyZDa86qO9,UHlLgh1aBsVI,11-03-2017 21:55,11-03-2017 21:55
ZskwlJutdrsO,wWrDFiKC8SqR,18-05-2018 11:05,18-05-2018 13:06
n2qxYfewEQFx,xemFKlPpjf1O,04-09-2017 14:26,04-09-2017 14:35
HOR4OGRLZFAi,HWooUBgyBrJU,05-08-2018 17:52,05-08-2018 18:05
m1LtjhIB9CsJ,Rq3VTAVc4cEX,20-04-2018 08:28,20-04-2018 08:52
JXMfAIkr2GMn,BkrFAZLNaKP8,20-04-2017 17:24,20-04-2017 17:41
ao8cwuTvK450,EbO7yiSrYEwd,12-07-2018 22:14,12-07-2018 22:30
0UBmWOKw8fEf,xDaUEW904mou,23-04-2018 10:53,24-04-2018 18:34
jVdQnhB1si7w,yg2g0mAhx5T1,09-05-2018 04:46,09-05-2018 04:55
